Brand,Summary of assessment findings or aggregate facility rating without naming individual facilities - At tier 1 level,Summary of assessment findings or aggregate facility rating without naming individual facilities - Beyond tier 1,Summary of assessment findings or aggregate facility rating without naming individual facilities - Raw material level,Facility-level rating by named facility  - At tier 1 level,Facility-level rating by named facility  - Beyond tier 1,Facility-level rating by named facility  - Raw material level,Selected audit findings/reports by named facility - At tier 1 level,Selected audit findings/reports by named facility - Beyond tier 1,Selected audit findings/reports by named facility - Raw material level,Full audit reports naming individual facilities - At tier 1 level,Full audit reports naming individual facilities - Beyond tier 1,Full audit reports naming individual facilities - Raw material level,Total
Pimkie,1,0,0,2,0,0,2,0,0,0,0,0,5
Prada,1,0,0,0,0,0,0,0,0,0,0,0,1
PrettyLittleThing,1,1,0,0,0,0,0,0,0,0,0,0,2
Primark,1,0,0,0,0,0,2,0,0,0,0,0,3
Prisma,1,0,0,0,0,0,0,0,0,0,0,0,1
Pull&Bear,1,1,1,0,0,0,0,0,0,0,0,0,3
Puma,1,1,0,0,0,0,2,2,0,3,0,0,9
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,1,0,0,0,0,0,0,0,0,0,0,0,1
Reebok,1,0,0,0,0,0,2,2,0,0,0,0,5
REI,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliance Trends,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserved,1,0,0,0,0,0,0,0,0,0,0,0,1
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,1,0,0,0,0,0,2,0,0,0,0,0,3
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,1,0,0,0,0,0,2,2,0,0,0,0,5
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainsbury's,1,0,0,0,0,0,2,2,0,0,0,0,5
SAINT LAURENT,1,1,1,0,0,0,0,0,0,0,0,0,3
Saks Fifth Avenue,1,0,0,0,0,0,0,0,0,0,0,0,1
Salvatore Ferragamo,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandro,1,0,0,0,0,0,0,0,0,0,0,0,1
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,0,0
Speedo,1,0,0,0,0,0,2,0,0,0,0,0,3
Splash,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Madden,0,0,0,0,0,0,0,0,0,0,0,0,0
Stradivarius,1,1,1,0,0,0,0,0,0,0,0,0,3
Superdry,1,0,0,0,0,0,0,0,0,0,0,0,1
Takko,1,0,0,0,0,0,0,0,0,0,0,0,1
Target,1,1,0,0,0,0,2,2,0,0,0,0,6
Target Australia,1,0,0,2,0,0,2,2,0,0,0,0,7
Tchibo,0,0,0,0,0,0,2,2,0,0,0,0,4
Ted Baker,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesco ,0,0,0,0,0,0,0,0,0,0,0,0,0
Tezenis,0,0,0,0,0,0,0,0,0,0,0,0,0
The Children's Place,0,0,0,0,0,0,0,0,0,0,0,0,0
The North Face,1,1,0,0,0,0,2,2,0,0,0,0,6
The Warehouse,1,0,0,0,0,0,0,0,0,0,0,0,1
Timberland,1,1,0,0,0,0,2,2,0,0,0,0,6
TJ Maxx,0,0,0,0,0,0,0,0,0,0,0,0,0
Tod's,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,1,0,0,2,0,0,0,0,0,0,0,0,3
Tommy Bahama,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,1,0,0,0,0,0,2,2,0,0,0,0,5
