Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of processing facilities is published,If list/map covers at least 95% of the processing factories in its supply chain,Publishes that this list or map of processing facilities has been updated within the past 6 months,Total
Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagonia,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrettyLittleThing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prisma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull&Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puma,3,0,3,2,2,0,0,0,0,0,3,0,0,1,14
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reebok,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
REI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliance Trends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,3,3,3,2,2,0,0,0,0,0,0,0,0,0,13
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainsbury's,3,0,3,2,2,2,1,1,1,0,3,0,0,1,19
SAINT LAURENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saks Fifth Avenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvatore Ferragamo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speedo,3,3,3,2,2,0,0,1,0,0,3,1,0,1,19
Splash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Madden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stradivarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superdry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target,3,0,3,0,0,0,0,0,0,0,3,0,0,1,10
Target Australia,3,3,3,2,2,0,0,1,0,0,3,1,0,1,19
Tchibo,3,0,3,2,2,0,0,0,0,0,3,1,2,1,17
Ted Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesco ,3,0,3,0,0,0,0,0,0,0,0,1,0,0,7
Tezenis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Children's Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The North Face,3,3,3,2,2,0,0,1,0,1,3,1,0,1,20
The Warehouse,3,0,3,2,2,0,0,0,0,0,0,0,0,0,10
Timberland,3,3,3,2,2,0,0,1,0,1,3,1,0,1,20
TJ Maxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tod's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,3,3,3,2,2,2,1,1,1,0,3,1,2,1,25
Tommy Bahama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Topman,3,0,3,2,0,0,0,0,0,0,3,1,2,0,14
Topshop,3,0,3,2,0,0,0,0,0,0,3,1,2,0,14
TOPVALU COLLECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGG,3,3,3,2,2,2,1,1,1,0,3,1,2,1,25
Under Armour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uniqlo,3,0,3,0,0,0,0,0,0,0,0,0,0,1,7
United Arrows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,3,3,3,2,2,2,1,1,0,0,3,1,2,0,23
Urban Outfitters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Heusen,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Vans,3,3,3,2,2,0,0,1,0,1,3,1,0,1,20
Vero Moda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Versace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria's Secret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woolworths South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrangler,3,3,3,2,2,0,0,0,0,0,3,0,0,1,17
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,3,0,3,2,2,0,0,1,0,0,3,0,0,1,15
Zara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeeman,3,0,3,0,0,0,0,0,0,0,3,0,0,0,9
