Brand,Name of supplier (e.g. parent company),Name of specific facility or farm,Address,"Type of raw material, products or services",Approximate number of workers,Sex-disaggregated breakdown of workers,% or number of migrant or contract workers,List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of raw materials suppliers is published,Discloses supplier list that covers more than one raw material type,Publishes that this list or map of raw materials suppliers has been updated within the past 12 months,"Discloses whether the company is tracing the source/supplier of one or more specific raw materials (e.g. part of Leather Working Group or using Responsible Down/Wool Standard, Global Recycling Standard, Content Claim Standard, Organic Cotton Standard, GOTS, FAIRTRADE Certified Cotton Mark and Cotton Programme, Cotton Made in Africa HIP, Oeko-Tex SteP/Made in Green or company/parent group's own initiatives such as using blockchain or transaction certifications or DNA schemes.",Total
Sainsbury's,3,0,0,2,0,0,0,0,1,0,0,1,7
SAINT LAURENT,3,0,0,2,0,0,0,0,1,0,1,1,8
Saks Fifth Avenue,0,0,0,0,0,0,0,0,0,0,0,1,1
Salvatore Ferragamo,0,0,0,0,0,0,0,0,0,0,0,1,1
Sandro,0,0,0,0,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,1,1
Speedo,0,0,0,0,0,0,0,0,0,0,0,1,1
Splash,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Madden,0,0,0,0,0,0,0,0,0,0,0,0,0
Stradivarius,0,0,0,0,0,0,0,0,0,0,0,1,1
Superdry,0,0,0,0,0,0,0,0,0,0,0,1,1
Takko,0,0,0,0,0,0,0,0,0,0,0,1,1
Target,0,0,0,0,0,0,0,0,0,0,0,1,1
Target Australia,0,0,0,0,0,0,0,0,0,0,0,1,1
Tchibo,0,0,0,0,0,0,0,0,0,0,0,1,1
Ted Baker,0,0,0,0,0,0,0,0,0,0,0,1,1
Tesco ,3,0,3,0,0,0,0,0,1,0,0,1,8
Tezenis,0,0,0,0,0,0,0,0,0,0,0,0,0
The Children's Place,0,0,0,0,0,0,0,0,0,0,0,0,0
The North Face,3,3,3,2,2,1,0,3,0,1,1,1,20
The Warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0
Timberland,3,3,3,2,2,1,0,3,0,1,1,1,20
TJ Maxx,0,0,0,0,0,0,0,0,0,0,0,0,0
Tod's,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,0,0,0,0,0,0,0,0,0,0,0,1,1
Tommy Bahama,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,3,3,3,0,2,0,0,3,0,0,1,1,16
Topman,0,0,0,0,0,0,0,0,0,0,0,1,1
Topshop,0,0,0,0,0,0,0,0,0,0,0,1,1
TOPVALU COLLECTION,0,0,0,0,0,0,0,0,0,0,0,0,0
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,0,0,0,0,0,0
UGG,3,3,3,2,2,1,1,3,1,1,1,1,22
Under Armour,0,0,0,0,0,0,0,0,0,0,0,1,1
Uniqlo,0,0,0,0,0,0,0,0,0,0,0,1,1
United Arrows,0,0,0,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,3,3,3,2,0,0,0,3,1,1,0,1,17
Urban Outfitters,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Heusen,3,3,3,0,2,0,0,3,0,0,1,1,16
Vans,3,3,3,2,2,1,0,3,0,1,1,1,20
Vero Moda,0,0,0,0,0,0,0,0,0,0,0,1,1
Versace,0,0,0,0,0,0,0,0,0,0,0,1,1
Very,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria's Secret,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart,0,0,0,0,0,0,0,0,0,0,0,1,1
Woolworths South Africa,0,0,0,0,0,0,0,0,0,0,0,1,1
Wrangler,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,0,0,0,0,0,0,0,0,0,0,0,1,1
Zara,0,0,0,0,0,0,0,0,0,0,0,1,1
Zeeman,0,0,0,0,0,0,0,0,0,0,0,1,1
